level,duration_us
1,559.64
0,7.24
1,3.8
0,132.36
1,63.76
0,7.28
1,3.6
0,108.8
1,86.96
0,7.24
1,3.72
0,131.2
1,64.44
0,7.32
1,3.68
0,141.52
1,54.0
0,7.36
1,3.6
0,126.64
1,69.28
0,7.36
1,3.64
0,109.4
1,499.19999999999993
0,7.2
1,3.88
0,98.32
1,97.8
0,7.24
1,3.72
0,88.48
1,107.16
0,7.36
1,3.52
0,99.8
1,95.92
0,7.32
1,3.6
0,121.84
1,74.72
0,7.52
1,3.24
0,67.48
1,134.12
0,7.84
1,3.36
0,46.6
1,3.32
0,4.84
1,140.6
0,8.12
1,3.24
0,46.96
1,147.64000000000001
0,76.0
1,3.72
0,4.76
1,1774.44
0,152.51999999999998
1,51.76
0,7.2
1,3.4
0,144.32
1,54.52
0,152.12
1,56.52
0,150.12
1,57.48
0,149.2
1,58.36
0,148.32
1,473.08
0,146.88
1,60.36
0,146.28
1,60.72
0,145.95999999999998
1,60.8
0,145.84
1,60.84
0,7.24
1,3.24
0,135.36
1,60.76
0,7.2
1,3.36
0,135.32
1,55.160000000000004
0,151.52
1,50.88
0,7.28
1,3.6
0,8026.4
1,5948.64
0,5.68
1,14.56
0,18.76
1,24.44
0,25.08
1,3.36
0,6.8
1,9.08
0,28.24
1,21.24
0,10.64
1,4.12
0,11.16
1,1076.04
0,8.92
1,12.64
0,3.4
1,6.28
0,9.64
1,6.16
0,9.84
1,6.08
0,9.92
1,5.84
0,10.12
1,6.12
0,9.88
1,5.44
0,10.56
1,6.08
0,9.92
1,5.56
0,10.4
1,5.52
0,10.4
1,5.16
0,10.92
1,5.56
0,10.24
1,5.24
0,10.92
1,5.16
0,10.64
1,5.16
0,10.96
1,5.12
0,10.8
1,4.76
0,11.24
1,4.92
0,11.0
1,4.64
0,11.4
1,4.68
0,11.24
1,4.56
0,11.4
1,4.52
0,11.52
1,4.32
0,11.68
1,4.24
0,11.68
1,4.4
0,11.52
1,4.12
0,11.88
1,4.12
0,11.92
1,3.96
0,11.88
1,3.96
0,12.08
1,3.56
0,12.36
1,4.04
0,27.96
1,3.84
0,28.119999999999997
1,3.88
0,28.119999999999997
1,3.4
0,12.56
1,3.24
0,12.68
1,3.24
0,596.92
1,201.32
0,5.36
1,201.48
0,5.16
1,49.24
0,7.32
1,3.44
0,146.68
1,49.84
0,7.24
1,3.64
0,145.96
1,50.04
0,7.24
1,3.68
0,145.72
1,50.04
0,7.24
1,3.68
0,145.72
1,200.12
0,6.56
1,201.6
0,5.08
1,49.08
0,7.56
1,3.2
0,146.84
1,49.68
0,7.32
1,3.64
0,146.04
1,50.0
0,7.36
1,3.6
0,145.72
1,50.04
0,7.4
1,3.48
0,145.76
1,50.08
0,7.36
1,3.56
0,145.68
1,50.12
0,7.36
1,3.6
0,145.6
1,52.24
0,7.32
1,3.64
0,143.48
1,54.760000000000005
0,7.36
1,3.56
0,141.0
1,55.040000000000006
0,7.28
1,3.56
0,140.76
1,55.0
0,7.24
1,3.6
0,1380.76
1,201.8
0,4.88
1,258.28000000000003
0,7.24
1,3.6
0,144.24
1,53.88
0,152.76
1,56.16
0,7.52
1,3.6
0,139.4
1,57.480000000000004
0,149.16
1,472.6
0,147.39999999999998
1,60.120000000000005
0,146.51999999999998
1,60.519999999999996
0,146.16000000000003
1,60.559999999999995
0,146.07999999999998
1,60.64
0,146.0
1,60.68
0,146.0
1,60.72
0,7.24
1,3.2
0,135.52
1,60.64
0,7.08
1,3.52
0,135.4
1,51.28
0,7.4
1,3.6
0,144.4
1,49.28
0,7.4
1,3.48
0,139.8
1,5512.96
0,4.92
1,17.12
0,16.6
1,27.16
0,33.8
1,5.04
0,36.52
1,1051.8799999999999
0,6.76
1,9.0
0,6.92
1,8.32
0,7.8
1,7.24
0,8.72
1,7.84
0,8.16
1,6.56
0,9.32
1,6.28
0,9.88
1,5.48
0,10.48
1,5.96
0,9.96
1,5.52
0,10.52
1,5.44
0,10.52
1,5.28
0,10.76
1,5.36
0,10.44
1,5.16
0,11.04
1,5.04
0,10.88
1,5.0
0,10.96
1,4.92
0,11.0
1,4.96
0,11.12
1,4.76
0,11.16
1,4.76
0,11.2
1,4.48
0,11.48
1,4.64
0,11.56
1,4.28
0,11.4
1,4.36
0,11.84
1,4.2
0,11.72
1,4.28
0,11.72
1,3.96
0,12.04
1,3.92
0,11.96
1,4.04
0,12.12
1,3.48
0,12.48
1,3.72
0,12.08
1,3.76
0,12.32
1,3.52
0,12.4
1,3.84
0,12.16
1,3.2
0,12.76
1,3.72
0,12.32
1,3.24
0,12.64
1,3.56
0,28.48
1,3.84
0,28.12
1,3.44
0,12.52
1,3.28
0,12.72
1,3.64
0,28.24
1,3.36
0,12.56
1,3.24
0,28.68
1,3.2
0,8756.16
