Time [s],Channel 1
0.000000000,0
0.011054300,1
0.011619200,0
0.011626200,1
0.012186200,0
0.012193200,1
0.012197200,0
0.012329200,1
0.012393200,0
0.012400200,1
0.012404200,0
0.012513200,1
0.012600200,0
0.012607200,1
0.012611200,0
0.012742200,1
0.012806200,0
0.012813200,1
0.012817200,0
0.012959200,1
0.013013200,0
0.013020200,1
0.013024200,0
0.013151200,1
0.013220200,0
0.013227200,1
0.013231200,0
0.013340200,1
0.013839200,0
0.013846200,1
0.013850200,0
0.013948200,1
0.014046200,0
0.014053200,1
0.014057200,0
0.014145200,1
0.014252200,0
0.014259200,1
0.014263200,0
0.014363200,1
0.014459200,0
0.014466200,1
0.014470200,0
0.014592200,1
0.014667200,0
0.014675200,1
0.014678200,0
0.014745200,1
0.014879200,0
0.014887200,1
0.014890200,0
0.014937200,1
0.014940200,0
0.014945200,1
0.015086200,0
0.015094200,1
0.015097200,0
0.015144200,1
0.015292200,0
0.015368200,1
0.015372200,0
0.015377200,1
0.017151200,0
0.017304200,1
0.017356200,0
0.017363200,1
0.017366200,0
0.017510200,1
0.017565200,0
0.017717200,1
0.017774200,0
0.017924200,1
0.017981200,0
0.018130200,1
0.018188200,0
0.018336200,1
0.018809200,0
0.018956200,1
0.019016200,0
0.019162200,1
0.019223200,0
0.019369200,1
0.019430200,0
0.019576200,1
0.019637200,0
0.019644200,1
0.019647200,0
0.019782200,1
0.019843200,0
0.019850200,1
0.019853200,0
0.019988200,1
0.020043200,0
0.020195200,1
0.020246200,0
0.020253200,1
0.020257200,0
0.028283200,1
0.034232200,0
0.034238200,1
0.034798200,0
0.034805200,1
0.034809200,0
0.034941200,1
0.035005200,0
0.035012200,1
0.035016200,0
0.035125200,1
0.035212200,0
0.035219200,1
0.035223200,0
0.035354200,1
0.035418200,0
0.035425200,1
0.035429200,0
0.035571200,1
0.035625200,0
0.035632200,1
0.035636200,0
0.035763200,1
0.035832200,0
0.035839200,1
0.035843200,0
0.035952200,1
0.036451200,0
0.036458200,1
0.036462200,0
0.036560200,1
0.036658200,0
0.036665200,1
0.036669200,0
0.036757200,1
0.036864200,0
0.036871200,1
0.036875200,0
0.036975200,1
0.037071200,0
0.037078200,1
0.037082200,0
0.037204200,1
0.037279200,0
0.037287200,1
0.037290200,0
0.037357200,1
0.037491200,0
0.037499200,1
0.037502200,0
0.037549200,1
0.037552200,0
0.037557200,1
0.037698200,0
0.037706200,1
0.037709200,0
0.037756200,1
0.037904200,0
0.037980200,1
0.037984200,0
0.037989200,1
0.039763200,0
0.039916200,1
0.039968200,0
0.039975200,1
0.039978200,0
0.040122200,1
0.040177200,0
0.040329200,1
0.040386200,0
0.040536200,1
0.040593200,0
0.040742200,1
0.040800200,0
0.040948200,1
0.041421200,0
0.041568200,1
0.041628200,0
0.041774200,1
0.041835200,0
0.041981200,1
0.042042200,0
0.042188200,1
0.042249200,0
0.042256200,1
0.042259200,0
0.042394200,1
0.042455200,0
0.042462200,1
0.042465200,0
0.042600200,1
0.042655200,0
0.042807200,1
0.042858200,0
0.042865200,1
0.042869200,0
0.050895100,1
0.056844100,0
0.056850100,1
0.056853100,0
0.065636700,1
0.065637100,0
0.065638000,1
0.065638400,0
0.065639200,1
0.065640000,0
0.065640500,1
0.065640900,0
0.065641700,1
0.065642500,0
0.065643000,1
0.065643400,0
0.065644200,1
0.065644600,0
0.065645500,1
0.065645900,0
0.065646700,1
0.065647100,0
0.065648000,1
0.065648400,0
0.065649200,1
0.065649600,0
0.065650500,1
0.065650900,0
0.065651700,1
0.065652100,0
0.065653000,1
0.065653400,0
0.065654200,1
0.065654600,0
0.065655500,1
0.065655900,0
0.065656700,1
0.065657100,0
0.065658000,1
0.065658800,0
0.065659200,1
0.065660000,0
0.065660500,1
0.065661300,0
0.065661700,1
0.065662500,0
0.065663000,1
0.065663400,0
0.065664200,1
0.065664600,0
0.065665500,1
0.065665900,0
0.065666700,1
0.065667100,0
0.065668000,1
0.065668400,0
0.065669200,1
0.065670000,0
0.065670500,1
0.065670900,0
0.065671700,1
0.065672500,0
0.065673000,1
0.065673400,0
0.065674200,1
0.065674600,0
0.065675500,1
0.065675900,0
0.065676700,1
0.065677100,0
0.065678000,1
0.065678400,0
0.065679200,1
0.065679600,0
0.065680500,1
0.065680900,0
0.065681700,1
0.065682100,0
0.065683000,1
0.065683400,0
0.065684200,1
0.065684600,0
0.065685500,1
0.065685900,0
0.065686700,1
0.065687100,0
0.065688000,1
0.065688800,0
0.065689200,1
0.065690000,0
0.065690500,1
0.065691300,0
0.065691700,1
0.065692500,0
0.065693000,1
0.065693400,0
0.065694200,1
0.065694600,0
0.065695500,1
0.065695900,0
0.065696700,1
0.065697100,0
0.065698000,1
0.065698400,0
0.065699200,1
0.065700000,0
0.065700500,1
0.065700900,0
0.065701700,1
0.065702500,0
0.065703000,1
0.065703400,0
0.065704200,1
0.065704600,0
0.065705500,1
0.065705900,0
0.065706700,1
0.065707100,0
0.065708000,1
0.065708400,0
0.065709200,1
0.065709600,0
0.065710500,1
0.065710900,0
0.065711700,1
0.065712100,0
0.065713000,1
0.065713400,0
0.065714200,1
0.065714600,0
0.065715500,1
0.065715900,0
0.065716700,1
0.065717100,0
0.065718000,1
0.065718800,0
0.065719200,1
0.065720000,0
0.065720500,1
