Time [s],Channel 1
0.000000000,1
0.012305160,0
0.012813200,1
0.013376050,0
0.013382990,1
0.013943040,0
0.013949990,1
0.013954040,0
0.014085990,1
0.014150040,0
0.014156990,1
0.014161040,0
0.014269990,1
0.014357040,0
0.014363990,1
0.014368040,0
0.014498990,1
0.014563040,0
0.014569990,1
0.014574040,0
0.014715990,1
0.014770040,0
0.014776990,1
0.014781040,0
0.014907990,1
0.014977040,0
0.014983990,1
0.014988040,0
0.015096990,1
0.015596040,0
0.015602980,1
0.015607040,0
0.015704980,1
0.015803040,0
0.015809980,1
0.015814040,0
0.015901980,1
0.016009040,0
0.016015980,1
0.016020040,0
0.016119980,1
0.016216040,0
0.016222980,1
0.016227030,0
0.016348980,1
0.016424040,0
0.016431980,1
0.016435030,0
0.016501980,1
0.016636040,0
0.016643980,1
0.016647030,0
0.016693980,1
0.016697030,0
0.016701980,1
0.016843040,0
0.016850980,1
0.016854030,0
0.016900980,1
0.017049040,0
0.017124980,1
0.017129030,0
0.017133980,1
0.018908030,0
0.019060970,1
0.019113030,0
0.019119970,1
0.019123030,0
0.019266970,1
0.019322030,0
0.019473970,1
0.019531030,0
0.019680970,1
0.019738030,0
0.019886970,1
0.019945030,0
0.020092970,1
0.020566030,0
0.020712970,1
0.020773020,0
0.020918970,1
0.020980020,0
0.021125970,1
0.021187020,0
0.021332970,1
0.021394020,0
0.021400970,1
0.021404020,0
0.021538970,1
0.021600020,0
0.021606970,1
0.021610020,0
0.021744970,1
0.021800020,0
0.021951970,1
0.022003020,0
0.022009970,1
0.022014020,0
0.030039940,1
0.035988980,0
0.035994920,1
0.036554980,0
0.036561920,1
0.036565980,0
0.036697920,1
0.036761980,0
0.036768920,1
0.036772980,0
0.036881920,1
0.036968980,0
0.036975920,1
0.036979980,0
0.037110920,1
0.037174980,0
0.037181920,1
0.037185970,0
0.037327920,1
0.037381980,0
0.037388920,1
0.037392970,0
0.037519920,1
0.037588980,0
0.037595920,1
0.037599970,0
0.037708920,1
0.038207980,0
0.038214920,1
0.038218970,0
0.038316920,1
0.038414970,0
0.038421920,1
0.038425970,0
0.038513920,1
0.038620970,0
0.038627920,1
0.038631970,0
0.038731920,1
0.038827970,0
0.038834920,1
0.038838970,0
0.038960920,1
0.039035970,0
0.039043920,1
0.039046970,0
0.039113920,1
0.039247970,0
0.039255920,1
0.039258970,0
0.039305920,1
0.039308970,0
0.039313920,1
0.039454970,0
0.039462920,1
0.039465970,0
0.039512920,1
0.039660970,0
0.039736920,1
0.039740970,0
0.039745920,1
0.041519970,0
0.041672910,1
0.041724970,0
0.041731910,1
0.041734960,0
0.041878910,1
0.041933960,0
0.042085910,1
0.042142960,0
0.042292910,1
0.042349960,0
0.042498910,1
0.042556960,0
0.042704910,1
0.043177960,0
0.043324910,1
0.043384960,0
0.043530910,1
0.043591960,0
0.043737900,1
0.043798960,0
0.043944900,1
0.044005960,0
0.044012900,1
0.044015960,0
0.044150900,1
0.044211960,0
0.044218900,1
0.044221960,0
0.044356900,1
0.044411960,0
0.044563900,1
0.044614960,0
0.044621900,1
0.044625950,0
0.052651880,1
0.058600920,0
0.058606860,1
0.058609910,0
0.067390810,1
0.067391260,0
0.067392060,1
0.067392510,0
0.067393320,1
0.067394160,0
0.067394570,1
0.067395000,0
0.067395820,1
0.067396650,0
0.067397070,1
0.067397500,0
0.067398320,1
0.067398750,0
0.067399570,1
0.067400000,0
0.067400820,1
0.067401250,0
0.067402070,1
0.067402500,0
0.067403320,1
0.067403750,0
0.067404570,1
0.067405000,0
0.067405820,1
0.067406250,0
0.067407070,1
0.067407500,0
0.067408320,1
0.067408750,0
0.067409570,1
0.067410000,0
0.067410820,1
0.067411250,0
0.067412070,1
0.067412900,0
0.067413320,1
0.067414150,0
0.067414570,1
0.067415400,0
0.067415820,1
0.067416650,0
0.067417070,1
0.067417500,0
0.067418320,1
0.067418750,0
0.067419570,1
0.067420000,0
0.067420820,1
0.067421250,0
0.067422070,1
0.067422500,0
0.067423320,1
0.067424150,0
0.067424570,1
0.067425000,0
0.067425820,1
0.067426650,0
0.067427070,1
0.067427500,0
0.067428320,1
0.067428750,0
0.067429570,1
0.067430000,0
0.067430820,1
0.067431250,0
0.067432070,1
0.067432500,0
0.067433320,1
0.067433750,0
0.067434570,1
0.067435000,0
0.067435820,1
0.067436250,0
0.067437070,1
0.067437500,0
0.067438320,1
0.067438750,0
0.067439570,1
0.067440000,0
0.067440820,1
0.067441250,0
0.067442070,1
0.067442900,0
0.067443320,1
0.067444150,0
0.067444570,1
0.067445400,0
0.067445820,1
0.067446650,0
0.067447070,1
0.067447500,0
0.067448320,1
0.067448750,0
0.067449570,1
0.067450000,0
0.067450820,1
0.067451250,0
0.067452070,1
0.067452500,0
0.067453320,1
0.067454150,0
0.067454570,1
0.067455000,0
0.067455820,1
0.067456650,0
0.067457070,1
0.067457500,0
