Time [s],Channel 1
0.000083292,0
0.017267700,1
0.017268140,0
0.017268940,1
0.017269400,0
0.017270200,1
0.017271040,0
0.017271440,1
0.017271900,0
0.017272700,1
0.017273540,0
0.017273960,1
0.017274380,0
0.017275200,1
0.017275640,0
0.017276460,1
0.017276880,0
0.017277700,1
0.017278140,0
0.017278960,1
0.017279380,0
0.017280200,1
0.017280640,0
0.017281460,1
0.017281880,0
0.017282700,1
0.017283140,0
0.017283960,1
0.017284380,0
0.017285200,1
0.017285640,0
0.017286460,1
0.017286880,0
0.017287700,1
0.017288140,0
0.017288960,1
0.017289780,0
0.017290200,1
0.017291040,0
0.017291460,1
0.017292280,0
0.017292700,1
0.017293540,0
0.017293960,1
0.017294380,0
0.017295200,1
0.017295640,0
0.017296460,1
0.017296880,0
0.017297700,1
0.017298140,0
0.017298960,1
0.017299380,0
0.017300200,1
0.017301040,0
0.017301460,1
0.017301880,0
0.017302700,1
0.017303540,0
0.017303960,1
0.017304380,0
0.017305200,1
0.017305640,0
0.017306460,1
0.017306880,0
0.017307700,1
0.017308140,0
0.017308960,1
0.017309380,0
0.017310200,1
0.017310640,0
0.017311460,1
0.017311880,0
0.017312700,1
0.017313140,0
0.017313960,1
0.017314380,0
0.017315200,1
0.017315640,0
0.017316460,1
0.017316880,0
0.017317700,1
0.017318140,0
0.017318960,1
0.017319780,0
0.017320200,1
0.017321040,0
0.017321460,1
0.017322280,0
0.017322700,1
0.017323540,0
0.017323960,1
0.017324380,0
0.017325200,1
0.017325640,0
0.017326460,1
0.017326880,0
0.017327700,1
0.017328140,0
0.017328960,1
0.017329380,0
0.017330200,1
0.017331040,0
0.017331460,1
0.017331880,0
0.017332700,1
0.017333540,0
0.017333960,1
0.017334380,0
0.017335200,1
0.017335640,0
0.017336460,1
0.017336880,0
0.017337700,1
0.017338140,0
0.017338960,1
0.017339380,0
0.017340200,1
0.017340640,0
0.017341460,1
0.017341880,0
0.017342700,1
0.017343140,0
0.017343960,1
0.017344380,0
0.017345200,1
0.017345640,0
0.017346460,1
0.017346880,0
0.017347700,1
0.017348140,0
0.017348960,1
0.017349780,0
0.017350200,1
0.017351040,0
0.017351460,1
0.017352280,0
