Time [s],Channel 1
0.000000000,0
0.003647700,1
0.003648100,0
0.003648900,1
0.003649400,0
0.003650200,1
0.003651000,0
0.003651400,1
0.003651900,0
0.003652700,1
0.003653500,0
0.003653900,1
0.003654400,0
0.003655200,1
0.003655600,0
0.003656400,1
0.003656900,0
0.003657700,1
0.003658100,0
0.003658900,1
0.003659400,0
0.003660200,1
0.003660600,0
0.003661400,1
0.003661900,0
0.003662700,1
0.003663100,0
0.003663900,1
0.003664400,0
0.003665200,1
0.003665600,0
0.003666400,1
0.003666900,0
0.003667700,1
0.003668100,0
0.003668900,1
0.003669800,0
0.003670200,1
0.003671000,0
0.003671400,1
0.003672300,0
0.003672700,1
0.003673500,0
0.003673900,1
0.003674400,0
0.003675200,1
0.003675600,0
0.003676400,1
0.003676900,0
0.003677700,1
0.003678100,0
0.003678900,1
0.003679400,0
0.003680200,1
0.003681000,0
0.003681400,1
0.003681900,0
0.003682700,1
0.003683500,0
0.003683900,1
0.003684400,0
0.003685200,1
0.003685600,0
0.003686400,1
0.003686900,0
0.003687700,1
0.003688100,0
0.003688900,1
0.003689400,0
0.003690200,1
0.003690600,0
0.003691400,1
0.003691900,0
0.003692700,1
0.003693100,0
0.003693900,1
0.003694400,0
0.003695200,1
0.003695600,0
0.003696400,1
0.003696900,0
0.003697700,1
0.003698100,0
0.003698900,1
0.003699800,0
0.003700200,1
0.003701000,0
0.003701400,1
0.003702300,0
0.003702700,1
0.003703500,0
0.003703900,1
0.003704400,0
0.003705200,1
0.003705600,0
0.003706400,1
0.003706900,0
0.003707700,1
0.003708100,0
0.003708900,1
0.003709400,0
0.003710200,1
0.003711000,0
0.003711400,1
0.003711900,0
0.003712700,1
0.003713500,0
0.003713900,1
0.003714400,0
0.003715200,1
0.003715600,0
0.003716400,1
0.003716900,0
0.003717700,1
0.003718100,0
0.003718900,1
0.003719400,0
0.003720200,1
0.003720600,0
0.003721400,1
0.003721900,0
0.003722700,1
0.003723100,0
0.003723900,1
0.003724400,0
0.003725200,1
0.003725600,0
0.003726400,1
0.003726900,0
0.003727700,1
0.003728100,0
0.003728900,1
0.003729800,0
0.003730200,1
0.003731000,0
0.003731400,1
0.003732300,0
0.003732700,1
0.003733500,0
0.003733900,1
0.003734400,0
0.003735200,1
0.003735600,0
0.003736400,1
0.003736900,0
0.003737700,1
0.003738100,0
0.003738900,1
0.003739400,0
0.003740200,1
0.003741000,0
